city,comparable,date,new_cases_raw,new_cases_7dayMA,new_cases_per1M_raw,new_cases_per1M_7dayMA,new_deaths_raw,new_deaths_7dayMA,new_deaths_per10M_raw,new_deaths_per10M_7dayMA
Cleveland,0,2020-11-09,494,427.428571428572,39.7151762622231,34.363160027927,3,3.14285714285714,24.1185280944675,25.2670294322992
Cleveland,0,2020-11-10,626,463.285714285714,50.3273286237888,37.2458983858847,0,2.71428571428571,0,21.8215254188039
Cleveland,0,2020-11-11,537,494.571428571429,43.1721652890967,39.7611163157363,3,3.14285714285714,24.1185280944675,25.2670294322992
Cleveland,0,2020-11-12,832,551,66.8887179153231,44.2976966001719,0,2.71428571428571,0,21.8215254188039
Cleveland,0,2020-11-13,711,597.857142857143,57.1609115838879,48.0647809882601,3,2.57142857142857,24.1185280944675,20.6730240809721
Cleveland,0,2020-11-14,661,623.571428571429,53.1411569014766,50.1320833963574,1,2.42857142857143,8.03950936482248,19.5245227431403
Cleveland,0,2020-11-15,982,691.857142857143,78.9479819625568,55.6219197911933,0,1.42857142857143,0,11.4850133783178
Cleveland,0,2020-11-16,718,723.857142857143,57.7236772394254,58.1945627879365,1,1.14285714285714,8.03950936482248,9.18801070265427
Cleveland,0,2020-11-17,629,724.285714285714,50.5685139047334,58.2290178280714,0,1.14285714285714,0,9.18801070265427
Cleveland,0,2020-11-18,559,727.428571428572,44.9408573493577,58.4816881223944,0,0.714285714285714,0,5.74250668915892
Cleveland,0,2020-11-19,755,716.428571428572,60.6982957044098,57.5973420922639,0,0.714285714285714,0,5.74250668915892
Cleveland,0,2020-11-20,401,672.142857142857,32.2384325529382,54.0369879449854,14,2.28571428571429,112.553131107515,18.3760214053085
Cleveland,0,2020-11-21,609,664.714285714286,48.9606120317689,53.4397672493129,0,2.14285714285714,0,17.2275200674768
Cleveland,0,2020-11-22,1191,694.571428571429,95.7505565350358,55.8401350453813,0,2.14285714285714,0,17.2275200674768
Cleveland,0,2020-11-23,1118,751.714285714286,89.8817146987154,60.4341403967084,2,2.28571428571429,16.079018729645,18.3760214053085
Cleveland,0,2020-11-24,833,780.857142857143,66.9691130089713,62.7770831258853,5,3,40.1975468241124,24.1185280944675
Cleveland,0,2020-11-25,1175,868.857142857143,94.4642350366642,69.8518513669291,2,3.28571428571429,16.079018729645,26.415530770131
Cleveland,0,2020-11-26,0,761,0,61.1806662662991,0,3.28571428571429,0,26.415530770131
Cleveland,0,2020-11-27,1910,976.571428571429,153.554628868109,78.5115514541807,3,1.71428571428571,24.1185280944675,13.7820160539814
Cleveland,0,2020-11-28,522,964.142857142857,41.9662388843734,77.5123552902671,0,1.71428571428571,0,13.7820160539814
Cleveland,0,2020-11-29,1169,961,93.9818644747748,77.2596849959441,-1,1.57142857142857,-8.03950936482248,12.6335147161496
Cleveland,0,2020-11-30,623,890.285714285714,50.0861433428441,71.5746033736768,1,1.42857142857143,8.03950936482248,11.4850133783178
Cleveland,0,2020-12-01,824,889,66.2455571661373,71.4712382532719,10,2.14285714285714,80.3950936482248,17.2275200674768
Cleveland,0,2020-12-02,710,822.571428571429,57.0805164902396,66.1307070323541,15,4,120.592640472337,32.1580374592899
Cleveland,0,2020-12-03,660,916.857142857143,53.0607618078284,73.7108158620439,0,4,0,32.1580374592899
Cleveland,0,2020-12-04,861,767,69.2201756311216,61.6630368281885,9,4.85714285714286,72.3555842834024,39.0490454862806
Cleveland,0,2020-12-05,911,822.571428571429,73.2399303135328,66.1307070323541,3,5.28571428571429,24.1185280944675,42.494549499776
Cleveland,0,2020-12-06,921,787.142857142857,74.0438812500151,63.2824237145313,0,5.42857142857143,0,43.6430508376078
Cleveland,0,2020-12-07,1368,893.571428571429,109.980488110772,71.8387586813781,3,5.71428571428571,24.1185280944675,45.9400535132713
Cleveland,0,2020-12-08,2711,1163.14285714286,217.951098880338,93.5109789262638,0,4.28571428571429,0,34.4550401349535
Cleveland,0,2020-12-09,1064,1213.71428571429,85.5403796417112,97.5766736621883,-1,2,-8.03950936482248,16.079018729645
Cleveland,0,2020-12-10,1236,1296,99.3683357492059,104.192041368099,17,4.42857142857143,136.671659201982,35.6035414727853
